City_ID,City,Lat,Lng,Max Temp °K,Humidity,Cloudiness,Wind Speed,Country,Date,Max Temp °C
0,mocuba,-16.8392,36.9856,297.55,88,97,2.1,MZ,1675791316,24.400000000000038
1,ushuaia,-54.8,-68.3,285.96,50,40,5.66,AR,1675791241,12.810000000000002
2,sar-e pul,35.8333,66.1667,277.01,55,55,5.81,AF,1675791317,3.8600000000000136
3,hilo,19.7297,-155.09,296.08,89,75,3.09,US,1675791318,22.930000000000007
4,urengoy,65.9667,78.3667,242.24,100,92,2.1,RU,1675791321,-30.909999999999968
5,butaritari,3.0707,172.7902,300.45,80,100,10.18,KI,1675790894,27.30000000000001
6,sao filipe,14.8961,-24.4956,293.76,64,0,6.55,CV,1675790631,20.610000000000014
7,yellowknife,62.456,-114.3525,258.61,96,100,3.03,CA,1675790788,-14.539999999999964
8,chokurdakh,70.6333,147.9167,234.02,100,99,1.52,RU,1675791325,-39.12999999999997
9,bredasdorp,-34.5322,20.0403,293.9,71,100,4.3,ZA,1675791278,20.75
10,tuatapere,-46.1333,167.6833,283.29,86,89,5.02,NZ,1675791048,10.140000000000043
11,albany,42.6001,-73.9662,277.06,44,63,2.24,US,1675791312,3.910000000000025
12,vaini,-21.2,-175.2,297.24,100,75,0.51,TO,1675791044,24.090000000000032
13,oliveira,-20.6964,-44.8272,298.54,73,56,1.93,BR,1675791263,25.390000000000043
14,qaanaaq,77.484,-69.3632,243.03,67,98,2.99,GL,1675791327,-30.119999999999976
15,narsaq,60.9167,-46.05,254.27,65,78,2.53,GL,1675791328,-18.879999999999967
16,victoria,22.2855,114.1577,293.69,92,57,4.02,HK,1675791048,20.54000000000002
17,tasiilaq,65.6145,-37.6368,257.24,53,43,6.12,GL,1675791329,-15.909999999999968
18,ola,59.5833,151.2833,243.06,87,73,3.83,RU,1675791330,-30.08999999999997
19,lebu,-37.6167,-73.65,291.67,64,0,8.23,CL,1675791116,18.52000000000004
20,atuona,-9.8,-139.0333,299.03,77,5,7.36,PF,1675791331,25.879999999999995
21,kikwit,-5.041,18.8162,295.62,83,71,1.05,CD,1675791333,22.470000000000027
22,hirara,24.8,125.2833,293.27,77,100,6.9,JP,1675791334,20.120000000000005
23,dzilam gonzalez,21.2833,-88.9333,303.21,47,9,3.62,MX,1675791335,30.06
24,progreso,21.2833,-89.6667,303.21,52,4,4.17,MX,1675791335,30.06
25,paamiut,61.994,-49.6678,258.25,75,100,3.77,GL,1675791045,-14.899999999999975
26,mrakovo,52.7161,56.6244,253.6,100,88,1.54,RU,1675791336,-19.549999999999983
27,khatanga,71.9667,102.5,229.38,100,69,0.61,RU,1675791336,-43.76999999999998
28,faanui,-16.4833,-151.75,299.83,78,26,5.55,PF,1675791338,26.680000000000007
29,wad madani,14.4012,33.5199,299.03,13,4,7.6,SD,1675791338,25.879999999999995
30,rikitea,-23.1203,-134.9692,299.22,74,52,5.49,PF,1675791077,26.07000000000005
31,port alfred,-33.5906,26.891,295.47,89,88,1.34,ZA,1675791339,22.32000000000005
32,hermanus,-34.4187,19.2345,294.71,76,100,6.07,ZA,1675791112,21.56
33,asau,46.4333,26.4,269.66,96,100,1.69,RO,1675791171,-3.4899999999999523
34,jiazi,22.8779,116.067,289.96,84,45,7.85,CN,1675791341,16.810000000000002
35,iqaluit,63.7506,-68.5145,240.2,67,75,2.57,CA,1675791342,-32.94999999999999
36,luderitz,-26.6481,15.1594,294.65,71,0,11.77,,1675791342,21.5
37,thompson,55.7435,-97.8558,251.24,71,40,1.54,CA,1675791263,-21.909999999999968
38,kruisfontein,-34.0033,24.7314,295.86,78,99,3.56,ZA,1675791053,22.71000000000004
39,punta arenas,-53.15,-70.9167,288.21,51,40,4.12,CL,1675791151,15.060000000000002
40,airai,-8.9266,125.4092,289.4,94,79,0.82,TL,1675791281,16.25
41,mataura,-46.1927,168.8643,283.42,84,83,2.44,NZ,1675791046,10.27000000000004
42,kawalu,-7.3817,108.2082,295.75,96,100,0.61,ID,1675791344,22.600000000000023
